number,date,title,length,inKey,tempo,topic,location,instruments,beard,videoID,description,acousticProduced,firsts,comments,press,mood,spotify,itunes,bandcamp,tags
1,1/1/2009,In the Time of the Gods,2:36,C,61,Poetic,Los Angeles,"Vocals, Baritone Uke",N/A,https://youtu.be/v6Lk_OP4ZKc,First song for Fun A Day! It’s called “In The Time of the Gods”. I wish I had better guitars. I’m using a baritone ukulele that won’t stay in tune!,Produced,First song.,,,Pensive,https://open.spotify.com/track/5M2qwk6euYPqsxXvMXFyyM,https://itunes.apple.com/ph/album/in-the-time-of-the-gods/1132700498?i=1132700609,https://jonathanmann.bandcamp.com/track/in-the-time-of-the-gods,"Folk, Delicate,Narrative, Myth "
2,1/2/2009,Hands (Oh No!),3:09,F,100,Poetic,Los Angeles,"Vocals, Baritone Uke",N/A,https://youtu.be/ojUAssDIqic,Song two for Fun A Day! It’s called “Hands (Oh No!)” I wish I was better at whistling. It sounds kind of creepy though.,Produced,,,,Sad,https://open.spotify.com/track/0Eh6pZdVIFDXj0TrZSQg9p,https://itunes.apple.com/ph/album/hands-oh-no/1132700498?i=1132700610,https://jonathanmann.bandcamp.com/track/hands-oh-no,"Folk, Dark, "
3,1/3/2009,Who Do You Think You Are,2:12,Am,110,Poetic,Los Angeles,"Vocals, Baritone Uke",N/A,https://youtu.be/tRrTEB50cCE,3rd song for Fun A Day! It’s called “Who Do You Think You Are?”. It’s pretty weird. It’s kind of like my worst nightmare. Judgement.,Produced,,,,Anxious,https://open.spotify.com/track/6cHw97andNYEOE45oRVgwG,https://itunes.apple.com/ph/album/who-do-you-think-you-are/1132700498?i=1132700611,https://jonathanmann.bandcamp.com/track/who-do-you-think-you-are,"Electro, Dark, Cheesy, Narrative, Funny"
4,1/4/2009,Elegy for industry,2:20,Em,130,Poetic,Los Angeles,"Vocals, Synths, Drum Machine",N/A,https://youtu.be/57gN8EZJE2A,Song 4! Elegy For Industry. Strange. Kind of cheesy. Let me know what you think!,Produced,,Songfight song.,,Sad,https://open.spotify.com/track/4x4mPfqo9ggQD7kPfpWZ6E,https://itunes.apple.com/ph/album/elegy-for-industry/1132700498?i=1132700612,https://jonathanmann.bandcamp.com/track/elegy-for-industry,"Electro, Dark,Narrative"
5,1/5/2009,The Airport Song,1:13,D,59,Airport,Los Angeles,"Vocals, Baritone Uke",Shadow,https://www.youtube.com/watch?v=kLzFYvZkX7c,Song #5 for Song A Day! I made it at LAX. In 20 min. While trying to not make too big a scene. Also got some time lapse of the gate I was waiting at. Yay!,Produced,First video.,Made in an airport.,,Chill,https://open.spotify.com/track/3Pq8uDm9mY6NpAEFtlMDJV,https://itunes.apple.com/ph/album/the-airport-song/1132700498?i=1132700613,https://jonathanmann.bandcamp.com/track/the-airport-song,"Folk, Wistful, Personal, Travel"
6,1/6/2009,It Must Be the Weather,3:50,Gm,65,Life,New York,"Vocals, Baritone Uke",N/A,https://youtu.be/n3ckq1Pa64g,N/A,Acoustic,First song in New York.,Recorded in the bathroom.,,Pensive,https://open.spotify.com/track/5O2EpSTQxdafnl8sr1WDGY,https://itunes.apple.com/ph/album/it-must-be-the-weather/1132700498?i=1132700614,https://jonathanmann.bandcamp.com/track/it-must-be-the-weather,"Blues, Dark, Personal, Weather"
7,1/7/2009,"EGM, 1up, Goodbye",2:37,Em,96,Video Games,New York,"Vocals, Baritone Uke",Shadow,https://www.youtube.com/watch?v=mzFyM0SCpOs,"A song I wrote today for Ryan and Matt and everyone else at 1up and EGM that lost their jobs yesterday. It's made me so unbelievably sad. First, they're my friends, and what they created and worked on, the 1up Show, was far and away the best gaming content anywhere, period. I'm going to miss my weekly dose of 1up Yours, 1up FM and The 1up Show, and boy am I going to miss getting EGM in the mail! Love! On to bigger and better things! All of you!",Acoustic,First stairwell song.,Written for the closing of EGM.,,Sad,https://open.spotify.com/track/66GDxpCpJxR4QneLZpOdF3,https://itunes.apple.com/ph/album/egm-1up-goodbye/1132700498?i=1132700615,https://jonathanmann.bandcamp.com/track/egm-1up-goodbye,"Folk, Dark, Personal, "
8,1/8/2009,Boy for Boy's Sake,2:23,D,50,Poetic,New York,"Vocals, Baritone Uke",Clean,https://www.youtube.com/watch?v=qLjYVzYGg-M,Song # 8 for Song A Day! It’s called “Boy For Boy’s Sake”. Yay!,Acoustic,,,,Pensive,https://open.spotify.com/track/4qUljFPUQX4Kyn8KCbBnq9,https://itunes.apple.com/ph/album/boy-for-boys-sake/1132700498?i=1132700616,https://jonathanmann.bandcamp.com/track/boy-for-boys-sake,"Folk, Light, "
9,1/9/2009,The Deutsch Positivity Anthem,2:59,Bb,170,Commission,New York,"Vocals, Baritone Uke",N/A,https://youtu.be/pvweusx-cAk,"This one is called “The Deutsch Positivity Anthem”. It was written for Ivory’s mom’s boss, who sent out an email to everyone in the creative group at Deutsch (an ad agency) saying that he wanted to be inundated with “positivity” ideas on Monday, the 12th. So I wrote this Positivity Anthem for her to present to him.",Produced,First commission,"My ex's mom commissioned a
song for the company she worked at.",,Happy,https://open.spotify.com/track/4qUljFPUQX4Kyn8KCbBnq9,https://itunes.apple.com/ph/album/the-deutsch-positivity-anthem/1132700498?i=1132700617,https://jonathanmann.bandcamp.com/track/the-deutsch-positivity-anthem,"Electro, Cheesy,Motivational"
10,1/10/2009,The Three Rules of the internet,3:07,D,100,Internet,New York,"Vocals, Baritone Uke",Clean,https://www.youtube.com/watch?v=GWSP2c9J8CQ,This goes out to all you haters!!,Acoustic,First viral song.,Viral,https://boingboing.net/2009/01/11/folk-song-containing.html,Silly,https://open.spotify.com/track/2Oh81hnjKpPkLt8d6HLDt2,https://itunes.apple.com/ph/album/the-three-rules-of-the-internet/1132700498?i=1132700618,https://jonathanmann.bandcamp.com/track/3-rules-of-the-internet,"Folk,Funny, Nerd"
