number,date,title,length,inKey,tempo,topic,mood,location,instruments,beard,videoID,description,acousticProduced,firsts,comments,press,spotify,itunes,bandcamp,tags
366,1/1/2010,Happy New Year Everyone From the Mann Family Players,0:47,C#,112,Family,Happy,"Southington, CT","Baritone Uke, Vocals",CLEAN,https://www.youtube.com/watch?v=CcuaUmr8gnE,,,,,,,,,"Folk, FUN, New Years Day, Niece, Whole Family, Holiday"
367,1/2/2010,She's Taking Her First Steps,1.21,Eb,70,Family,Chill,"Southington, CT","Baritone Uke, Vocals",CLEAN,https://www.youtube.com/watch?v=CP9SdWImcNg,,,,,,,,,"Folk, DELICATE, Niece, Whole Family"
368,1/3/2010,www.tsowf.tumblr.com,1.38,C#,161,Wandering Fall,Excited,"Southington, CT","Baritone Uke, Vocals",SHADOW,https://www.youtube.com/watch?v=zTbTd7nACZQ,,,,,,,,,"FOLK, SILLY, WEBSITE"
369,1/4/2010,Tiny Wings,1.12,F,90,Wandering Fall,Chill,Berkeley,"Piano, Synths, Samples, Drum Machine",na,https://www.youtube.com/watch?v=Zcm6FOAqRt4,,,,,,,,,"ELECTRO, LIGHT SPACE"
370,1/5/2010,Little Masters of Time,0:53,F,120,Wandering Fall,Excited,Berkeley,"Piano, Samples, Drums",na,https://www.youtube.com/watch?v=uKyWvPx8TAw,,,,,,,,,"DOO WOP, CATCHY, TIME, SPACE"
371,1/6/2010,Mostly Water With Free Will,0:48,C,90,Wandering Fall,Chill,Berkeley,"Synths, Piano, Drum Machine",na,https://www.youtube.com/watch?v=wCzZvWopVBg,,,,,,,,,"ELECTRO, SPACE"
372,1/7/2010,"Hey, Hey I'm Over Here",0:56,A#,111,Wandering Fall,Intense,Berkeley,"Synths, Piano, Drum Machine",na,https://www.youtube.com/watch?v=hxQaS9p1fwg,,,,,,,,,"ROCK, WISTFUL, SPACE"
373,1/8/2010,Fall Suburbia,1:08,D,110,Wandering Fall,Chill,Berkeley,"Piano, Bass, Drums",na,https://www.youtube.com/watch?v=l2mdQ6y5wto,,,,,,,,,"Electro, Friend, SPACE"
374,1/9/2010,We Are Friends,0:53,A,125,Wandering Fall,Pensive,Berkeley,"Piano, Bass, Drums",na,https://www.youtube.com/watch?v=EQpPovv9zEg,,,,,,,,,"Doo Wop, Friend, SPACE"
375,1/10/2010,On Cows,0:16,G,127,Wandering Fall,INTENSE,Berkeley,"BANJO, BASS, DRUMS",NA,https://www.youtube.com/watch?v=dPZdgMUKY3M,,,,,,,,,"FOLK, COWS, SPACE"
376,1/11/2010,Wandering Together,1:02,G,100,Instrumental,CHILL,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",NA,https://www.youtube.com/watch?v=2otCPeEHOcU,,,,,,,,,"AMBIENT, DREAMY"
377,1/12/2010,"Something, Nothing",0:45,C,162,Wandering Fall,CHILL,Berkeley,"PIANO, SYNTHS, DRUMS",NA,https://www.youtube.com/watch?v=JLf0Q-DneCo,,,,,,,,,"ELECTRO, SPACE"
378,1/13/2010,An Explosion,0:46,E,123,Wandering Fall,INTENSE,Berkeley,"ACOUSTIC GUITAR, PIANO, DRUMS",NA,https://www.youtube.com/watch?v=9QgxAPQm6vc,,,,,,,,,"FOLK, SPACE"
379,1/14/2010,Solar Wind,0:54,B,168,Wandering Fall,HAPPY,Berkeley,"PIANO, ELECTRIC GUITAR, BASS, DRUMS",NA,https://www.youtube.com/watch?v=hzuMOIPSlzM,,,,,,,,,"ROCK, Fast, SPACE"
380,1/15/2010,Together Edge of the Universe,0:44,C,160,Wandering Fall,ANXIOUS,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",NA,https://www.youtube.com/watch?v=-on8X9RX1WI,,,,,,,,,"ELECTRO, SPACE"
381,1/16/2010,Trouble Approaching,0:46,D,100,Wandering Fall,ANXIOUS,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",NA,https://www.youtube.com/watch?v=pncuMQ-gXZU,,,,,,,,,"ELECTRO, SPACE"
382,1/17/2010,Doo Wop Ro Bot,2:08,C,108,Poetic,HAPPY,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=5lmUBBcXals,,,,,,,,,"DOO WOP, LIGHT, SOULFUL, VOCODER, "
383,1/18/2010,My Friend Johnny Boyd is on the Show 24,1:22,D,88,Friend,EXCITED,Berkeley,"ORGAN, PIANO, DRUMS",SHADOW,https://www.youtube.com/watch?v=jKGVbuUT5p4,,,,,,,,,"ROCK, FUN, Friend, JOHN BOYD"
384,1/19/2010,She Loves Me,2:33,C,71,Poetic,CHILL,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=22NiUJ13d2o,,,,,,,,,"DOO WOP, LIGHT, Love, SOULFUL, VOCODER, TIME"
385,1/20/2010,Rubber Deamons : Heathly Angels,1:49,A,100,Poetic,INTENSE,Berkeley,"SYNTHS, PIANO, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=UThUnpxLEhk,,,,,,,,,"DOO WOP, DARK, Love, SOULFUL, VOCODER, MYTH"
386,1/21/2010,Sore Throat,0:11,D,95,Sick,PENSIVE,Berkeley,"SYNTHS, DRUM MACHINE",SHADOW,https://www.youtube.com/watch?v=Iugfo39DPb8,,,,,,,,,"ELECTRO, DARK, DISTORTION, "
387,1/22/2010,Minstrel,1:41,G,99,Poetic,PENSIVE,Berkeley,"ACOUSTIC GUITAR, PIANO, DRUMS",SHADOW,https://www.youtube.com/watch?v=EUaM9GjJ_VE,,,,,,,,,"FOLK,WISTFUL, VOCODER, SOULFUL, MELODY"
388,1/23/2010,Who Will Remain (Acoustic Style),4:19,G,56,Politics,INTENSE,Berkeley,ACOUSTIC GUITAR,SHADOW,https://www.youtube.com/watch?v=T4Gnaq438NU,,,,,,,,,"FOLK, DARK, SAD, ANTHEM"
389,1/24/2010,Tater Tots and Avacado Shakes,0:21,A,168,Life,SILLY,Berkeley,VOCALS,SHADOW,https://www.youtube.com/watch?v=4phVNIX9VF0,,,,,,,,,"ACAPELLA, FUN, FRIEND"
390,1/25/2010,Valentines Day With Groupon,2:03,F,121,Commission,SILLY,Berkeley,"PIANO, SYNTHS, DRUMS",CLEAN,https://www.youtube.com/watch?v=Itspbx-wEGk,,,,,,,,,"ELECTRO, BAD, COMPANY, GROUPON"
